Kommunenummer	Stadnamn	Prioritet	Stadtype nynorsk	Stadtype bokm�l	Stadtype engelsk	Kommune	Fylke	Lat	Lon	HÃ¸gd	Nynorsk	BokmÃ¥l	Engelsk	
1002	Ryvingen	99	Fyr	Fyr	Light house	Mandal	Vest-Agder	57.96793	7.49148		http://www.yr.no/stad/Noreg/Vest-Agder/Mandal/Ryvingen/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Mandal/Ryvingen/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Mandal/Ryvingen/forecast.xml	
1004	Kirkehamn	99	Tettstad	Tettsted	Small town	Flekkefjord	Vest-Agder	58.23263	6.53533		http://www.yr.no/stad/Noreg/Vest-Agder/Flekkefjord/Kirkehamn/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Flekkefjord/Kirkehamn/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Flekkefjord/Kirkehamn/forecast.xml	
1004	Hidra	99	Kyrkje	Kirke	Church	Flekkefjord	Vest-Agder	58.22716	6.53841		http://www.yr.no/stad/Noreg/Vest-Agder/Flekkefjord/Hidra/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Flekkefjord/Hidra/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Flekkefjord/Hidra/forecast.xml	
1004	RasvÃ¥g	99	Tettbebyggelse	Tettbebyggelse	Settlement	Flekkefjord	Vest-Agder	58.21271	6.58045		http://www.yr.no/stad/Noreg/Vest-Agder/Flekkefjord/RasvÃ¥g~200/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Flekkefjord/RasvÃ¥g~200/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Flekkefjord/RasvÃ¥g~200/forecast.xml	
1003	Lista	40	Fyr	Fyr	Light house	Farsund	Vest-Agder	58.10929	6.56689	14	http://www.yr.no/stad/Noreg/Vest-Agder/Farsund/Lista/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Farsund/Lista/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Farsund/Lista/forecast.xml	
1003	Vestbygd	99	Tettstad	Tettsted	Small town	Farsund	Vest-Agder	58.09991	6.58697		http://www.yr.no/stad/Noreg/Vest-Agder/Farsund/Vestbygd/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Farsund/Vestbygd/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Farsund/Vestbygd/forecast.xml	
1003	Borhaug	50	Gardsbruk	GÃ¥rdsbruk	Farm	Farsund	Vest-Agder	58.10313	6.57910		http://www.yr.no/stad/Noreg/Vest-Agder/Farsund/Borhaug/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Farsund/Borhaug/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Farsund/Borhaug/forecast.xml	
1003	Vestbygd	99	Kyrkje	Kirke	Church	Farsund	Vest-Agder	58.10034	6.58617		http://www.yr.no/stad/Noreg/Vest-Agder/Farsund/Vestbygd~229/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Farsund/Vestbygd~229/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Farsund/Vestbygd~229/forecast.xml	
1003	Vatne	99	Grend	Grend	Village	Farsund	Vest-Agder	58.09835	6.58717		http://www.yr.no/stad/Noreg/Vest-Agder/Farsund/Vatne/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Farsund/Vatne/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Farsund/Vatne/forecast.xml	
1004	Abelnes	99	Bygd	Bygd	Village area	Flekkefjord	Vest-Agder	58.23928	6.64924		http://www.yr.no/stad/Noreg/Vest-Agder/Flekkefjord/Abelnes/varsel.xml	http://www.yr.no/sted/Norge/Vest-Agder/Flekkefjord/Abelnes/varsel.xml	http://www.yr.no/place/Norway/Vest-Agder/Flekkefjord/Abelnes/forecast.xml	
